comment,n_star,BATTERY,CAMERA,DESIGN,FEATURES,GENERAL,PERFORMANCE,PRICE,SCREEN,SER&ACC,STORAGE
"Lần đầu thử mua máy hãng trung quốc xài mà quá thất vọng, máy chậm rì, lag giật khi mở ứng dụng nhẹ như zalo hay uc, fb dù không cài game nào trong máy, lắp thẻ nhớ vào thư viện 5 tiếng sau vẫn load hình ảnh trên thẻ nhớ chưa xong dù chỉ xài thẻ 32gb,",1,None,None,None,None,Negative,Negative,None,None,Negative,Negative
"Máy vi vo y19 chất lương trung bình so với tầm giá ,cài đặt chữ lớn nhất mà chữ vẫn còn nhỏ ,ưu điểm là pin lớn ,còn lại thua sam sung với mức giá tương đương .",3,Positive,None,None,Negative,Neutral,None,Neutral,None,None,None
"Pin trâu, dùng rất ok, mọi người nên sử dụng sản phẩm này! Ưng màu và camera quá đẹp!",5,Positive,Positive,Positive,None,Positive,None,None,None,None,None
"Mk sài đk 2 tháng dùng rất ok...camera khỏi chê luôn rum lên k bị vỡ ảnh, cam trước thò thụt phát sáng rất đẹp và thời trang, cấu hình ram8+ rom128 rất ok tầm giá đấy",5,None,Positive,Positive,None,Positive,Positive,None,None,None,None
Mới sài được 4 ngày cũng thấy ổn chơi game khỏi bàn. Pin trâu.  Sạc nhanh. Điểm k thích là vân tay có lần chạm k được. Nói chung trong tầm giá vậy là sài quá ngon rùi..,5,Negative,None,None,Negative,Positive,Positive,Neutral,None,None,None
Máy mình vừa mua đc 2 tuần. Gọi zalo hoặc mess đầu bên kia ko nghe gì. Đã thử xoá ứng dụng đi và tải lại. Chỉ mjnh cách khắc phục,4,None,None,None,Negative,None,Negative,None,None,None,None
"Máy chuẩn theo tiêu chí Tiền nào Của đó. Xài lướt wed xem ứng dụng youtube,facebook... mượt.",5,None,None,None,None,Positive,Positive,Neutral,None,None,None
NS chúng trong tầm giá mày OK .... Xài mượt vân tay nhạy ... Máy đẹp. Sát nhanh ... Nhân viên nhiệt tình m rất thik ...,5,Positive,None,Positive,Positive,Positive,Positive,None,None,Positive,None
Cho e hỏi e mới ip7plus mấy lần đầu e bật wifi để qua đêm chỉ mất 2% bin nhưng xài được 1 thời gian e để wifi quá đêm mất 30% bin v e có đổi được k ạ e còn đang trong 1 tháng 1 đổi 1,1,Negative,None,None,None,None,None,None,None,None,None
"Quá chán ,quá thất vọng. Pin nhanh hết, camera chế độ chụp đêm ,nét, làm đẹp thua xa 11pro. Tóm lại trải nghiệm 3 ngày nay thấy thật sự thất vọng. Nhân viên phục vụ nhiệt tình.",1,Negative,Neutral,None,None,Negative,None,None,None,Positive,None
"Sau khi mua 1 cái ok, mua cái thứ 2 cho vk thì lỗi không nhận sim, đã đổi. Ưu điểm: pin khoẻ, nghe gọi khá rõ, mượt. Màn hình to, vân tay khá nhạy; Nhược điểm: máy khá dày, nặng, bắt wifi yếu, máy hơi giật khi lướt web và sd các ứng dụng thông thường, không lưu sđt đc vào sim, nói chúng khá ổn so với giá thành. Yêu hàng VN nhất là Vsmart, nhưng rất ghét cách làm kiểu Asanzo mong sao các sp do vn sản xuất chứa 60% trí tuệ người Việt.",4,Positive,None,Negative,Neutral,Neutral,Neutral,None,Positive,Positive,None
"Là 1 fan của Samsung nhưng tôi cảm thấy thất vọng về ẩn phẩm rất nhiều. Dù đã đổi máy mới nhưng vẫn bị các tình trạng như sau : 
Nhận wifi chậm và hạn chế bán kính.
Vân tay lúc được lúc không và mất khoảng 2s để nhận diện ( cả máy cũ và máy mới đã đổi)
Chơi game khoảng 10p có hiện tượng giật, đơ
Ứng dụng dư thừa quá nhiều.
Sài mess hoặc zalo kiểu thả nổi vô cùng giật máy, có lúc đơ máy tự tắt nguồn luôn. 
Được cái pin trâu ( chắc do mới )
Chụp hình cũng gọi là tạm được
Tầm giá này không hợp lí tí nào . Thật hối hận khi mua máy.",1,Positive,Neutral,None,Negative,Negative,Negative,Negative,None,None,None
Chụp hình ban đêm ok.góc rộng.chuẩn.phục vụ ok .máy quá đẹp(riêng ý kiến tôi).sạc cũng nhanh.,5,Positive,Positive,Positive,None,None,None,None,None,Positive,None
"Màn hình rỗ vãi ra. Nhìn 1 lúc rất đau mắt trong khi mình nhìn đt khác thì không mỏi. Chụp ảnh rất tệ. Xem video thì cứ mờ mờ kiểu gì ý. Màn hd+ nhưng k như mình nghĩ. Pin thì trâu. Nói chung là giá rẻ nên chấp nhận thôi. Những ai quan trọng màn hình, camera thì k nên mua con này.",3,Positive,Negative,None,None,Neutral,None,Positive,Negative,None,None
"Pin thì trâu,chơi call of duty bật cấu hình tối đa thì vẫn muốn,lq cấu hình cao thì vẫn mượt như bth,để mày từ tối đến sáng chỉ mất 2% pin thui,màn hình sắc nét,màn hình nhạy,nên mua con này,rất hợp tui tiền,tuy nhiên lâu lâu thoát ra ứng dụng thì màn hình đen,nhưng điều đó chỉ xảy ra đúng chưa đc 1 giấy thì trở lại bth",4,Positive,None,None,Positive,Positive,Neutral,Positive,Positive,None,None
"Máy đẹp, chụp hình ổn nhưng pin mau hết và mặt kính màn hình dễ bể lắm, so với các dòng itel đã dùng trước đó. Để trong balo thôi mà đi xe từ Bình Dương qua Long Khánh nứt nát,không biết vì sao. Gõ chữ sms hoặc zalo thì bình thường nhưng trong fb thì bấm chữ này nhảy chữ kia.",3,Negative,Positive,Neutral,Negative,None,None,None,None,None,None
"Rất tuyệt, nhưng hơi đắt, tầm 6tr thì quá ok rồi, máy rất mượt, chỉ mỗi vân tay hơi chậm",5,None,None,None,Negative,Positive,Positive,Negative,None,None,None
Máy có cam rất tốt chụp ảnh quay phim siêu nét.pin ổn ram 6 gb ô cứng 128 thoải mái dùng không hết,5,Positive,Positive,None,None,None,Positive,None,None,None,Positive
"Tổng thể máy ổn trong tầm giá: Cảm biến vân tay nhạy, màn hình HD đủ dùng nếu như bạn không quá quan trọng về độ phân giải. Âm thanh to rõ. Pin tốt nếu như đã disable Google và Google Assistant. Camera cho chất lượng tạm ổn, không xuất sắc, nhưng cũng không tệ.",5,Neutral,Neutral,None,Positive,Positive,None,Neutral,Neutral,None,None
Mua con này được 2 tuần mình cũng chơi game hoặc xài nhìu ứng dụng lâu mà ko bị nóng máy khá mượt trong tầm giá. Camera thiết kế thì khỏi bàn. Mình su dụng nhìu nhưng pin xài cả ngày mới hết. Sạc nhanh tầm 50p là đầy.. thấy ko như nhìu bạn bình luận là máy đơ hay tuột bin nhanh.,5,Positive,None,Positive,None,None,Positive,None,None,None,None
"Mình mua được 25 ngay rồi. Nói thật mọi thứ rất tuyệt vời không thể chê vào đây được, nhưng cái gì cũng có khuyết điểm của nó cả A51 này có mỗi 1 cái là kết nối bluetooth vơi loa kéo là kém. Còn mòn mọi mặt là rất ko.",5,None,None,None,Negative,Positive,None,None,None,None,None
Máy nhìn đẹp.  Mỗi tội chơi game ko tốt thua ss j5.máy bị ám màu.  Hay bị lỗi phần mềm. Nói chung tầm giá 4tr thì nên mua máy khác tốt hơn.,1,None,None,Positive,None,Negative,Negative,Neutral,Negative,None,None
Dùng 2 tháng đầu thì khá ổn. Nhưng đến tháng thứ 3 thấy sản phẩm quá tệ. Cảm ứng không ăn. Cứ đơ lag liên tục. Bấm tắt màn hình rồi bật lên lại được. Quá thất vọng. Giá rẻ mà hoá ra đắt vì không dùng được. Vinsmart nên xem lại.,1,None,None,None,Negative,Negative,Negative,Negative,None,None,None
Máy dùng hơi chậm.dùng lâu nóng cảm giác như dung lượng pin k đc như đánh giá e mới mua máy đc 1 tuần tại tgdd bây giờ em mang qua bán lại sản phẩm thì mất bao nhiêu ạ,4,Negative,None,None,None,None,Negative,None,None,None,None
Sảm đẹp sang pin trâu. Mọi thứ đều rất ok sau khoảng 1 tháng sử dụng. Sản phẩm tầm trung đáng mua,5,Positive,None,Positive,None,Positive,None,Neutral,None,None,None
"Vừa túi tiền . Đẹp chất lượng màn hình tràn viền 
Nhà sản xuất nên phát triển thêm camera trước.",5,None,Neutral,Positive,None,None,None,Positive,Positive,None,None
"Màn hình kém,phản ứng chậm với các loại mở khóa. Tóm lại ko đúng với giá tiền.tốc độ kém,máy yếu. Nói chung là giá trên trời",1,None,None,None,Negative,Negative,Negative,Negative,Negative,None,None
"Mình  mua sử dụng khoảng 20 ngày,  đánh  giá  theo cá nhân sử dụng 
1:camera thì chụp ảnh (ngày và đêm) và quay phim không bằng A71 vì cam chính chỉ có 48MP( không  bật chế độ super steady).
2: chơi các thể loại game thì mượt không bị lag(mình  mở full mọi chức năng),
3:về pin thì nếu chơi game online và lướt fb,zalo..liên tục thì được 6h, sạc nhanh thì mất 1h15'-1h25'(từ 15%).sạc và sử dụng thì pin ko nóng, Còn ít chơi game và fb,zalo thì được 8h, cũng có lúc pin tụt như tụt quần mình ko hiểu tại sao(ko chạy ngầm ứng dụng)
4: cảm biến vân tay thì khá ổn (cảm biến quang học),mình không dùng cảm biến khuôn mặt.cảm biến  màn hình thì ko được nhạy khi sử dụng đồ họa.
5: xem phim và youtube thì khá ổn
Nói chung phù hợp chơi game thôi, còn các tính năng khác thì chán lắm.",3,Neutral,Negative,None,Neutral,Neutral,Positive,None,None,None,None
Máy này chỉ nên mua làm máy phụ thôi với các chức năng cơ bản chứ xem video hay nghe nhạc màn hình hiển thị kém loa rè dù để mức nhỏ chán samsung thật,2,None,None,None,Negative,None,None,None,Negative,Negative,None
"Máy chơi liên quân, hay bắn call of duty mobile hay bi giật, đặt biệt là khi combat tổng, camera xẤu , còn lại thì tạm đc",2,None,Negative,None,None,Neutral,Negative,None,None,None,None
"-Nói chung về pin thì OK 
-Chơi game thì ko biết có phải mình tháo tác nhanh quá khiến máy giật ko , có lúc nó hơi giật.
-Ko biết là do game PUBG hay do máy mà bấm vào x ở góc màn hình để tắt kho đồ các kiểu ,mà bấm mãi ko đc phải dùng đến phím ∆ của máy 
-Mở trình duyệt thì mình có lưu icon web ở TD bấm cái là vào , vậy mà có lúc bấm mãi ko đc phải mở tab mới, mới bấm đc",3,Positive,None,None,None,None,Negative,None,None,None,None
"Thiết kế Cáp sạc mình thấy hơi lỏng, tai nghe mang vào đau lỗ tai hay bị rớt ra. Chụp hình cam sau thì ok, nhưng cam trước phải nói là vô cùng tệ và ảo. Chụp xóa phông thì làm mờ ko đồng đều nhìn rất kì.
Màu sắc màn hình đẹp và rực rỡ, mượt mà.  Pin xài đc hơn 1 ngày. Nói chung trải nghiệm khá ok có điều Cam trước xấu quá xấu.",4,Positive,Neutral,None,None,Positive,None,None,Positive,Negative,None
Đt tốt..loa lớn bề ngoài đẹp.. Nói chung là ưng lăm pin cực trâu sài tầm 2-3 ngày là ok..,5,Positive,None,Positive,Positive,Positive,None,None,None,None,None
Mới mua hòi hôm qua mà thấy bắt wifi yếu quá chiệu không được không biết mấy bạn khác có bị giống mình không,3,None,None,None,Negative,None,None,None,None,None,None
"Sản phẩm mình mua là đã sữ dụng nhưng dùng rất tốt, sản phẩm dùng từ  tháng 1 tới giờ, pin rất cầm, camera khỏi nói!",5,Positive,Positive,None,None,Positive,None,None,None,None,None
"Bình thường tôi chỉ thích mua máy qua sử dụng để khỏi đóng thuế nhưng bưa này máy củ giá thấp hơn máy mới có 100k nên tôi mới mua máy mới. Tôi tháy máy chạy tốt, lâu lâu có lên chơi game MU lúc rổi nói chung chạy ổn. Tôi chưa thử máy gióng dân đam mê game vừa chơi vừa cấm sạt cho máy bóc khói có bị đơ hay không  nên chưa cho 5 sao",4,None,None,None,None,Positive,Positive,None,None,Positive,None
Mới mua lúc sáng . Máy dùng rất tốt. Chơi game là mở max cau hình ko nóng ty nào. Cảm biến vân tay nhay vừa chạm là mở. Máy rất ngon trong tầm giá...,5,None,None,None,Positive,Positive,Positive,Neutral,None,None,None
"Hiệu năng rất ok, mượt mà, chơi game tốt, không giật lag. Chỉ có vấn đề pin dung lượng 4000 mà tụt hơi nhanh, nhưng vẫn đáp ứng ngày sử dụng , được cái sạc nhanh đầy, cam chụp bình thường thì đẹp rất ok nhưng khi dùng videocall qua zalo hoặc mess thì rất mờ. Nói chung tổng thể sản phẩm này dùng tốt trong tầm giá.",4,Neutral,Neutral,None,None,Positive,Positive,Neutral,None,None,None
Nghe gọi rõ. Nhưng phát ra loa ngoài to hơn loa trong mặc dù ki bật loa ngoài. Nên ai muốn nghe to hơn thì quay ngược điện thoại lại nhé. Nhạc chuông chỉ có 5 kiểu. Ko hay và hơi nhỏ. Pin bình thường. 2700 mah nhưng cũng ko trâu lắm. Đèn pin sáng,3,Neutral,None,None,Negative,None,None,None,None,None,None
"Mua tặng không được dùng nên không biết đánh giá như thế nào, chỉ biết người được tặng rất thích, nên mình cũng hài lòng.",5,None,None,None,None,Positive,None,None,None,None,None
Sau 1 thoi gian su dung nhuoc diem lon nhat o con nay la mat lung de tray xuoc. Voi cau hinh cung binh thuong so voi gia hon 9 trieu thi hoi chat. Camera 32p cung khong duoc net lam anh chup bi am vang. Van tay sau khi cap nhat lai dung cung tam duoc voi lai mo khoa khuon mat hoi lau...,3,None,Negative,Negative,Negative,None,Neutral,Negative,None,None,None
Mới mua 5 ngày nhưng mà vào game nhẹ lúc thoát ra là bị đơ 3 giây mới thoát ra đc,3,None,None,None,None,None,Negative,None,None,None,None
Giá cả ko hợp lý! Camara dỡ tệ! Ánh sáng màn hình thì yếu. Quảng cáo cho cố! Mua con tầm giá đó  ssA50 thì ngon hơn!,1,None,Negative,None,None,None,None,Negative,Negative,None,None
Mới mua 3 ngày dùng rất thích.máy pin khỏe.chơi game rất mượt bị và nóng ơ mức bình thường,5,Positive,None,None,None,Positive,Positive,None,None,None,None
"Máy cấu hình khỏe, chơi lq max cấu hình k nóng. Mọi thứ đều ok, trừ cái Camera k tốt như mong đợi
Nhân viên tư vấn nhiệt tình",4,None,Negative,None,None,Positive,Positive,None,None,Positive,None
Chụp hình không đc đẹp như realme3 nữa pin nhanh hết chơi game liên quan compat lag quá đứng im cho người ta đánh ....3 cái đó thôi là thấy không hài lòng rùi...,2,Negative,Negative,None,None,Negative,Negative,None,None,None,None
"Hầu hết mọi thứ đều ổn, trừ wifi bắt hơi yếu, sóng di động ra đến rìa ngoại thành là còn 1 vạch, nháy đúp mở màn hình chưa thực sự nhạy",4,None,None,None,Negative,Positive,None,None,None,None,None
Sạc PIN siêu tốc nhưng tuột cũng siêu tốc. Cảm biến vân tay lúc được lúc không. Chơi game online thì lag. Uổng 9tr.,1,Neutral,None,None,Negative,None,Negative,Negative,None,None,None
Sài ngon thật camera trước chụp ảnh đẹp mà mõi tội sử dụng app video call thì bị mờ và tối thui.,4,None,Neutral,None,None,Positive,None,None,None,None,None
Máy thì ok cấu hình tốt chs game mượt nhưng màng hình hơn tối nhân viên phục vụ nhiệt tình,5,None,None,None,None,Positive,Positive,None,Negative,Positive,None
Tự động cập nhật lên androi 10 chụp ảnh mất lun cam góc rộng mất nhìu thứ khác nx quá thất vọng,3,None,Negative,None,None,None,Negative,None,None,None,None
"Mọi chức năng ok trừ camera lưu hơi chậm khiến ảnh chụp bị nhòe nhưng tạm ổn so với giá, cảm ứng mượt, mở mật khẩu bằng số còn nhận diện hơi chậm, nói chung là tạm",4,None,Neutral,None,Neutral,Neutral,None,None,None,None,None
M xài dc 1 tuan.nói chung là ok chỉ có pin là k kéo lâu mặc dù m k chơi game cấu hình mạnh...m thix chụp hình nên máy này chụp hình m thấy quá ok...còn sự bền vững cũng phải xem time nữa..Nhưng mình cho 5* k hẳn là chất lượng máy mà là do 1 phần Chị nhân viên trong TGDD quá ok...m còn nhớ c đó tên Hấn á...nc dễ thương gần gũi và thân thiện nữa...,5,Negative,Positive,None,None,Positive,None,None,None,Positive,None
"Máy ổn, xài tốt mọi thứ, có 1 quả pin là hơi tệ, màn 120hz mà dùng thì tầm 15h hết pin. Mong bản nâng cấp.",5,Negative,None,None,None,Positive,None,None,Neutral,None,None
"Mọi người dùng s20+ cho em hỏi với. khi mở video hay ca nhạc đại loại là âm thanh có bị dung máy, cầm máy cảm thấy âm thanh dung rất mạng ở phía sau lưng máy ko ạ. Em mở 1/2 volum cũng vẫn bị như vậy. Có phải máy bị lỗi không ạ",3,None,None,None,Negative,None,None,None,None,None,None
"Mua chạy grab mà toàn báo định vị yếu ko làm ăn đc gi, rõ chán, bán lại thì lỗ tụt quần",2,None,None,None,Negative,None,None,None,None,None,None
"hua xa realme 5 pro chỉ đc mạnh lúc ms mua.Sau khi xài 3 tháng thì thấy như sau,điều 1: loa ổn ok bình thường,thiết kế đẹp nặng,nhưng khi chơi game thì chơi 1 ván(tầm 16phút) thì máy bất ngờ nóng trên 40 độ C chụp 2,3 bức hình cx thế,khuyên các bạn đang có ý định mua thì ko nên,đợi realme 6 hoặc realme 5 pro",1,None,None,Positive,Positive,Negative,Negative,None,None,None,None
"Sau 3 tháng sử dụng, cá nhân mình thấy không có gì để chê cả, do hãng đã gắn chip snap 855 cho máy trên nền giá chỉ bằng 1 nữa máy Flagship hiện nay là điều quá tuyệt vời, nên việc cắt giảm camera cũng như cảm biến vân tay và khuôn mặt chưa thật sự tốt cũng không có gì đáng lo ngại. Mọi người nếu muốn có 1 máy hiệu năng tốt nhanh mượt cân mọi game bật full cấu hình với giá cực rẻ thì Samsung S10 lite ko làm bạn thất vọng !!!
Với tầm giá này bằng một nữa Flagship mà mọi người đòi hoàn hảo thêm camera xịn, vân tay siêu nhạy và các thứ điều chuẩn thì thành ra các dòng máy Flagship giá 20 triệu trở lên ai mà mua nữa mấy bạn !!!",5,None,Negative,None,Negative,None,Positive,Positive,None,None,None
"Dán keo tại tgdd có bảo hàng k ạ, mới mua dán ở tgdd về thấy xấu quá ạ keo muốn bung rồi",1,None,None,None,None,None,None,None,None,Negative,None
"Máy dùng ngon, mượt mà, pin khỏe mình xài cả ngày vẫn ok quá đi. Mình rất thích. Mình rất yên tâm mua hàng ở đây vì là hàng chính hãng, lại được bảo hành tới 1 năm. Đã thế chụp ảnh xóa phông rất đẹp và nghệ thuật. Hi hi",5,Positive,Positive,None,None,Positive,Positive,None,None,Positive,None
"Mới mua máy được 3 ngày. Máy thiết kế đẹp, dùng mượt mà, máy có loa kép nên âm thanh phát ra khá to và êm tai, còn về khoản pin thì sạc hơi lâu",5,Negative,None,Positive,Positive,None,Positive,None,None,None,None
"Máy phù hợp trong tầm giá, với mặt lưng bằng kính sang trọng, thiết kế rất đẹp. Camera tốt, chế độ chụp đêm giúp chụp rõ chỉ tiết. Mình chơi liên quân bật max setting, fps cao vẫn ổn, mặc dù đôi lúc vào combat hơi giật lắc và 1 phần do ảnh hưởng tốc độ mạng. Màn hình không khuyết điểm giúp mình có trải nghiệm tốt hơn, camera thò thụt nhạy. Về vân tay cảm biến thì đôi khi hơi chậm. Nói chung là máy đáng mua. Bên dưới là hình ảnh mình chụp với chế độ đêm.",4,None,Positive,Positive,Neutral,Positive,Neutral,Neutral,Positive,None,None
Bắt wifi kém lắm mn ạ. Bị lỗi nghe gọi tùm lum hàng Việt Nam mà thua hàng TQ. Thất vọng quá.,2,None,None,None,Negative,Negative,None,None,None,Negative,None
"Xem đánh giá chê quá nhiều mà mình vì thích cái kiểu máy và cái camera nên cứng đầu mua và kết quả quá chán... nhất là cảm ứng nhảy lung tung và có khi nhấn không ăn,đánh chữ rất bực mình...Camera thì tạm đc, k phải quá đẹp gì, đc mỗi cái chụp góc rộng thôi.Với số tiền bỏ ra không đáng tí nào. Khuyên mn k nên mua.Thất vọng ",1,None,Neutral,None,Negative,Negative,None,Negative,None,None,None
Máy sài rất tốt,5,None,None,None,None,Positive,None,None,None,None,None
Máy đẹp pin khoẻ cam ok k có lỗi lầm gì . Pin dùng thoải mái 1 ngày k lo nghĩ ok,5,Positive,Positive,Positive,None,None,None,None,None,None,None
"Sản phẩm dùng tốt trong tầm giá,camera tạm ổn trong tầm giá (Selfie đẹp), cấu hình mạnh.Nói chúng là đáng mua",4,None,Neutral,None,None,Positive,Positive,Neutral,None,None,None
Máy dùng thường xuyên bị đơ màn hình .khá là khó chịu .hỏi bên bảo hành thì kêu ko xác định đc lỗi,3,None,None,None,None,None,Negative,None,None,None,None
Sau gần 1 tuần mình có đánh giá như sau. Camera 48mp nhưng ko hiểu sao hình ảnh cũng ko ăn thua cho lắm. Về cấu hình số với tầm giá thì còn này là mạnh rồi nhưng có một số khuyết điểm mà mình ko thích là gọi video hay chơi game máy rất nóng. Ko hiểu sao con này chạy chíp 660 mà lại thua cái máy cùng hãng chạy chíp cũ 626 . Tại mình đang dùng 1 em Xiaomi redmi 5 plus máy đó tuy dùng hơn năm nhưng mình dùng gọi video hay chơi game cũng ko thấy nóng bảo giờ,3,None,Negative,None,None,None,Neutral,Neutral,None,None,None
"Thiết kế đẹp. Máy dùng mượt ghê. Cấu hình oke trong phân khúc,. Thích vivo vì thiết kế nào cũng đẹp hơn các hãng khác. Bỏ ra 4tr9 xứng đáng",5,None,None,Positive,None,None,Positive,Negative,None,Positive,None
Máy xài rất tốt mình thì không chơi game nhưng lướt fb và youtobe thường xuyên cảm thấy pin rất trâu và bắt wifi 3/4g cực kì nhạy màng hình cảm ứng cũng rất nhạy k bị đơ hay bị lag ... Nói chung đây là dòng máy đáng mua,5,Positive,None,None,Positive,Positive,None,None,None,None,None
"Nhìn ưng quá, máy đẹp Nhưng mà mới mua vsmart live được 3 tháng, chả nhẽ giờ lại 2 tay 2 máy vin ",5,None,None,Positive,None,None,None,None,None,None,None
"Dùng cơ bản fb zalo thấy mượt, sau khi lên realme UI thì có hiện tượng chạy chậm hay đơ hơn bản cũ. Còn độ bền thì xài thử mới biết đc :D",4,None,None,None,None,None,Neutral,None,None,None,None
"Chip này chơi game cực tốt , mình xài được 5 tháng rồi vẫn còn rất mượt không phí tiền khi mua con này rất hài lòng",5,None,None,None,None,Positive,Positive,Positive,None,None,None
"mới mua được 3 ngày, chơi game lướt web mướt mườn mượt nha.. nhưng mà pin khá yếu hong quá trâu như lời đồn. 
Có ai updata lên Android 10 chưa cho ý kiến với!!!  -_-",5,Negative,None,None,None,None,Positive,None,None,None,None
"Máy ngon , pin trâu , sạc hơn tiếng đầy pin , chụp ảnh khá ok , loa kép nghe to rõ , ncl ổn so với tầm giá",5,Positive,Positive,None,Positive,Positive,None,Neutral,None,None,None
Sản phẩm khá tốt . Mình vừa mua sáng hiện tại xài khá tốt . Pin xài khá lâu. Giá hợp lý cho sản phẩm Việt.,4,Positive,None,None,None,Positive,None,Positive,None,None,None
"Mới mua 1 tháng ở tgdd. Đánh giá : 
1- màn đẹp nét, loa to, xem phim thì ko có j phải nghĩ.
2-máy bắt wifi ổn, ai bảo yếu thì là do nhân phẩm.
3-cảm ứng mượt ko bị đơ như realme, chơi game mượt nếu để ở cấu hình thấp.lq hay pubg hạ đồ hoạ thì ok.
4-pin: rất trâu bò, sạc cũng khá nhanh.
.nhược điểm: hơi nóng máy lúc sạc.
 Rất thích hợp cho sinh viên với tác vụ bt thì sd 2-3 năm ok.
4 ưu điểm và 1 nhược điểm cho 3 sao. Và 0,5 sao về phục vụ nhiệt tình của nv tgdd.",3,Neutral,None,None,Positive,None,Neutral,None,Positive,Positive,None
"Mới mua được 1 tháng mấy ngày.pin để qua đem tụt trên 50%, pin còn 90% tụt rất nhanh quả thật vọng",1,Negative,None,None,None,None,None,None,None,None,None
Máy nói chung ổn định... chơi game mượt....có cái ko cầm pin lâu.... mình sạc đầy 100% cầm vuốt vuốt 10p đã còn 97 rồi....hoặc sạc đầy bỏ túi chưa sài tới .. khoảng 30p móc ra thì thấy tuột 99 rồi,4,Negative,None,None,None,Positive,Positive,None,None,None,None
"Máy tuyệt vời
Pin trâu mẫu mã đẹp màn hình coi phim tỉ sướng k chê vào đâu được.",5,Positive,None,None,None,Positive,None,None,Positive,None,None
"Sản phẩm xài tốt với mức giá tiền như vậy, đọc bình luận của những con người chê sản phẩm này chỉ chứng tỏ thêm độ ngu dốt của họ, trước khi mua không lo tìm hiểu về cấu hình máy chỉ biết sủa nhảm là giỏi, mình thông cảm cho mấy đứa không có não mà đi chê sản phẩm tốt như thế này",5,None,None,None,None,Positive,None,Neutral,None,None,None
"Lướt web,  xem phim, chụp ảnh thì ok.  Nhưng mà chơi game thì cực kỳ tệ.  Đứng máy.  Cực kỳ lag.  Tốt nhất ai có ý định mua chơi game thì tìm mua 3ram hoặc 4ram trở lên.  Chứ cái vivo này như cái lol.",3,None,Positive,None,None,Negative,Neutral,None,None,None,None
Máy quá ok.pin xài lâu chụp hình đẹp .nhân viên nhiệt tình.chụp hình chơi game đều ok hết.giá vừa túi tiền nữa.mọi người nên mua.,5,Positive,Positive,None,None,Positive,Positive,Positive,None,Positive,None
"Mới mua thây sài khá ổn , vân tay nhạy , k bị giật đơ hay lag như mọi người nói , chụp hình cx ok",5,None,Neutral,None,Positive,Positive,Positive,None,None,None,None
"Mình mới mua về sài rất ok sản phẩm rất tuyệt vời 
Cho mình hỏi thêm khi bật chia sẻ wifi thì máy lại rung là sao ạ",5,None,None,None,Neutral,Positive,None,None,None,None,None
"Giá của vsmart live 4 đắt tiền quá , camera trước 13mp ít hơn vsmart live (cũ). Phải giữ nguyên cấu hình của vsmart live (cũ) nâng cấp lên sẽ tốt hơn",1,None,Negative,None,None,None,None,Negative,None,None,None
Cảm ứng k nhạy hay loạn chán thật sự chơi game cứ bị nhảy thanh thông báo ức chế quá,2,None,None,None,Negative,None,None,None,None,None,None
Mới đổi cái thứ 2 và lại tiếp tục lỗi ko nhận diện camera. Ko biết có cách nào khắc phục ko chứ chán quá.Không biết đổi có bị lần nữa không. Cầu mong thật sự:)),2,None,Negative,None,None,None,None,None,None,None,None
"Hello mọi người ! Nhật Trung TV 
Mình mới mua máy sam sung A71 mình có test thử khi quay vlog máy chụp ảnh , quay video cũng ok nhưng không được nét , bật chống rung lên quay cũng ok .
Pin sử dụng liên tục được tầm  6 tiếng ,  về sac thì nhanh khỏi phải bàn rồi , chơi geam máy ít nóng không như vỏ kim loại ,hiệu năng con chíp đỉnh đấy  , hệ điều hành android 10 trải nghiệm tốt.  
            Youtuber     ( Nhật Trung TV ) nhé.",4,Positive,Neutral,None,None,None,Positive,None,None,None,None
Chất lượng tuyệt vời. Đã sử dụng 1 thời gian cảm thấy rất đáng đồng tiền. Nhân viên chăm sóc nhiệt tình,5,None,None,None,None,Positive,None,Positive,None,Positive,None
Giá quá mắc . Con này nên bán giá tầm 3.2 triệu là vừa còn bản 3G ram thì dưới 3 triệu mới hợp lý giá .chứ sao mà lại anh vsmart,1,None,None,None,None,None,None,Negative,None,None,None
Sao con joy3 của mình để không nó cũng hao pin vây.Để từ tối đến sáng hao mất 10% mà con này mới mua,3,Negative,None,None,None,None,None,None,None,None,None
"Tôi để youtube chế độHD1080 xem rất đẹp,chụp hình cũng ok,pin không biết có đủ 5000 không nhưng cũng tạm ổn.Nói chung 3,9tr hợp lý cho Ram 3/32G .",5,Neutral,Neutral,None,None,None,None,Neutral,Positive,None,None
"Mua được 1 tháng. Máy mượt. Ít nóng dù xài liên tục. Xạc nhanh, lâu hết pin. Chụp hình k bằng A50. Tốt trong tầm giá. Thấy mấy bạn mua k có ốp lưng mình mua tại tgdd có mà.",5,Positive,Negative,None,None,Positive,Positive,Neutral,None,Positive,None
Máy chỉ có 4 từ để hình dung NGON BỔ RẺ ĐẸP điểm trừ nhẹ là pin chỉ tạm ổn ko trâu lấm. Nhưng rất hài lòng sản phẩm. Nhân viên tgdd tại quốc lộ 80 lấp vò đồng tháp nhiệt tình và viu vẻ. Kết e nhân viên xinh xinh ,5,Neutral,None,Positive,None,Positive,None,Positive,None,Positive,None
